,hiv4_pw,lm_pw,hiv4_tw,lm_tw
1001250_EL_2018-02-02_clean.txt,0.0248571869692759,0.018913077041840358,11.432904446630472,45.8606348721789
1002047_NTAP_2018-02-22_clean.txt,0.030692406065404094,0.037695633639851435,46.156655067326945,305.44156629722175
100493_TSN_2018-02-08_clean.txt,0.02502435004120775,0.02764666217127443,205.60144343328173,160.06352906109595
1013237_FDS_2018-01-09_clean.txt,0.015778186274509803,0.01302083333333333,11.161569186161648,96.48686411684587
1024478_ROK_2018-01-31_clean.txt,0.020129032258064505,0.02051612903225805,4.203113163784321,17.152543216458685
1037038_RL_2018-02-08_clean.txt,0.02014114253335395,0.02410755679184054,14.630618469639705,150.42147672580384
1048695_FFIV_2018-02-02_clean.txt,0.019198982835346476,0.02199618563254928,5.091780153791726,58.17144322184668
1048911_FDX_2018-03-21_clean.txt,0.020243922674852744,0.02190326059902101,85.6072611650053,124.13278998077399
106040_WDC_2018-02-06_clean.txt,0.039864786105606696,0.05027781015658388,637.61321489279,809.7254089065377
10795_BDX_2018-02-06_clean.txt,0.026956430884964997,0.03824051823215967,31.881649412406592,339.1021446331107
1090872_A_2018-03-06_clean.txt,0.03191151230055307,0.03362786853982585,37.81835720175786,93.01464405334428
1116132_TPR_2018-02-07_clean.txt,0.017332656465298434,0.013126405105518893,14.266733954096173,78.13282831079276
1137789_STX_2018-01-29_clean.txt,0.026623756582796965,0.025160912814511414,15.586912935159088,62.18975459954693
1140859_ABC_2018-02-06_clean.txt,0.019660307119590516,0.03129362494183342,19.129757906081775,43.65489868166491
1170010_KMX_2018-01-04_clean.txt,0.02067824648469809,0.019391600036761315,17.641763657353387,53.20407047257351
1260221_TDG_2018-02-07_clean.txt,0.0181547619047619,0.014781746031746026,10.463349480980272,28.393489625531746
1341439_ORCL_2018-03-21_clean.txt,0.014666938276634744,0.01982752767026549,25.17042378439136,123.736894401863
1383312_BR_2018-02-08_clean.txt,0.015564914850759934,0.010986998718183483,3.4269972950650356,7.457496263869513
1385157_TEL_2018-01-24_clean.txt,0.025489631336405524,0.02635368663594469,6.5759701559948,55.63839342036801
1403161_V_2018-02-01_clean.txt,0.010444209413008991,0.01890534108937069,8.981782960946575,44.95398021343105
1467373_ACN_2018-03-22_clean.txt,0.01987365096077915,0.016714924980257957,5.495317968230484,25.356025757348466
14693_HCN_2018-03-07_clean.txt,0.026773132926256434,0.019962423673085934,17.731271986036,47.837529634391764
1564708_NWSA_2018-02-09_clean.txt,0.027876631079478045,0.02728351126927639,83.52928485042153,70.7297568659038
1596783_CTLT_2018-02-05_clean.txt,0.028612738756563408,0.028536641047104475,37.00981687829259,62.517777627268664
1601046_KEYS_2018-03-08_clean.txt,0.03530096334130733,0.036270770026508053,87.07237909310926,207.40642612281735
1604778_QRVO_2018-02-01_clean.txt,0.031563183964981,0.019813385554659602,13.270036708264128,13.652896968257558
1613103_MDT_2018-03-02_clean.txt,0.031261409273457476,0.03660094925155164,67.0049384965426,105.42605548393932
1618921_WBA_2018-01-04_clean.txt,0.021849427168576116,0.021767594108019664,21.386079320797446,42.33363371229604
1618921_WBA_2018-03-28_clean.txt,0.023571883627097032,0.019183124513343232,27.29369402978783,45.15812422464686
1645590_HPE_2018-03-09_clean.txt,0.01977972578107439,0.026223121300666806,25.104838059554144,70.43634867049549
16732_CPB_2018-03-05_clean.txt,0.029675066312997364,0.030006631299734778,54.16095788162963,63.61379371776405
1679273_LW_2018-01-04_clean.txt,0.023200859291084862,0.012459720730397425,6.86570588339787,12.151848646053892
1688568_DXC_2018-02-09_clean.txt,0.022223334501226294,0.025727013364032242,106.17249526624849,208.12167619849146
16918_STZ_2018-01-05_clean.txt,0.02258478737064733,0.020696427222599904,975.5697988120295,29.703513896958817
202058_LHX_2018-01-31_clean.txt,0.023179339108116773,0.024302213666987482,31.82480247049743,63.78709330927032
21076_CLX_2018-02-02_clean.txt,0.025195901145268228,0.019168173598553336,87.96118280184156,40.57135664802253
23217_CAG_2018-01-04_clean.txt,0.022135948780820047,0.0243154883530854,13.932550061170339,63.61344374119555
2969_APD_2018-01-26_clean.txt,0.03471721438137425,0.02122179870196763,4.317040599466834,24.762827920130306
315189_DE_2018-03-01_clean.txt,0.026353790613718425,0.023375451263537933,15.11460083675485,28.750938349371967
319201_KLAC_2018-01-26_clean.txt,0.0296430482934662,0.03738317757009345,68.53757391680564,181.89983724317614
320187_NKE_2018-01-05_clean.txt,0.0299770624060745,0.017321838171320096,12.112681317712305,25.2069492035251
320193_AAPL_2018-02-02_clean.txt,0.022998296422487234,0.03080636002271438,71.78003422759646,144.605614890471
32604_EMR_2018-02-07_clean.txt,0.023076923076923075,0.021538461538461534,1.7515444526821538,10.047816093235706
38777_BEN_2018-01-30_clean.txt,0.03188613231552163,0.03435114503816791,71.90003182521849,267.0019431220174
40704_GIS_2018-03-21_clean.txt,0.024453232184650158,0.023888306028569135,11.372045880332387,46.75630970610399
4127_SWKS_2018-02-05_clean.txt,0.01670886075949367,0.01670886075949367,32.20952512248651,31.260938713606112
47217_HPQ_2018-03-01_clean.txt,0.02120932683440915,0.030825978131998374,87.90529656295126,356.99068020698405
48465_HRL_2018-03-09_clean.txt,0.026624502703254116,0.022646128736101213,11.075104001472697,77.46713741703802
52988_J_2018-02-07_clean.txt,0.01693435754189945,0.021909916201117343,20.823379411772965,102.07143047046782
6281_ADI_2018-02-28_clean.txt,0.02849724526629094,0.03109366094610858,36.474249889213056,186.84372847174293
